SEASON_YEAR,TEAM_NAME,PAYROLL_MILLIONS
2021-22,New Orleans Pelicans,78.3
2021-22,New York Knicks,118.4
2021-22,Oklahoma City Thunder,64.3
2021-22,Orlando Magic,58.4
2021-22,Philadelphia 76ers,128.3
2021-22,Phoenix Suns,118.4
2021-22,Portland Trail Blazers,98.3
2021-22,Sacramento Kings,78.4
2021-22,San Antonio Spurs,78.3
2021-22,Toronto Raptors,118.4
2021-22,Utah Jazz,118.3
2021-22,Washington Wizards,84.4
2022-23,Atlanta Hawks,118.4
2022-23,Boston Celtics,148.3
2022-23,Brooklyn Nets,158.4
2022-23,Charlotte Hornets,88.3
2022-23,Chicago Bulls,104.4
2022-23,Cleveland Cavaliers,104.3
2022-23,Dallas Mavericks,118.4
2022-23,Denver Nuggets,128.3
2022-23,Detroit Pistons,71.4
2022-23,Golden State Warriors,158.3
2022-23,Houston Rockets,78.4
2022-23,Indiana Pacers,84.3
2022-23,Los Angeles Clippers,158.4
2022-23,Los Angeles Lakers,148.3
2022-23,Memphis Grizzlies,98.4
2022-23,Miami Heat,104.3
2022-23,Milwaukee Bucks,138.4
2022-23,Minnesota Timberwolves,118.3
2022-23,New Orleans Pelicans,94.4
2022-23,New York Knicks,118.3
2022-23,Oklahoma City Thunder,74.4
2022-23,Orlando Magic,68.3
2022-23,Philadelphia 76ers,138.4
2022-23,Phoenix Suns,148.3
2022-23,Portland Trail Blazers,94.4
2022-23,Sacramento Kings,94.3
2022-23,San Antonio Spurs,74.4
2022-23,Toronto Raptors,118.3
2022-23,Utah Jazz,94.4
2022-23,Washington Wizards,84.3
2023-24,Atlanta Hawks,118.3
2023-24,Boston Celtics,158.4
2023-24,Brooklyn Nets,104.3
2023-24,Charlotte Hornets,84.4
2023-24,Chicago Bulls,104.3
2023-24,Cleveland Cavaliers,118.4
2023-24,Dallas Mavericks,138.3
2023-24,Denver Nuggets,148.4
2023-24,Detroit Pistons,74.3
2023-24,Golden State Warriors,148.4
2023-24,Houston Rockets,94.3
2023-24,Indiana Pacers,98.4
2023-24,Los Angeles Clippers,168.3
2023-24,Los Angeles Lakers,158.4
2023-24,Memphis Grizzlies,94.3
2023-24,Miami Heat,118.4
2023-24,Milwaukee Bucks,148.3
2023-24,Minnesota Timberwolves,138.4
2023-24,New Orleans Pelicans,104.3
2023-24,New York Knicks,138.4
2023-24,Oklahoma City Thunder,94.3
2023-24,Orlando Magic,84.4
2023-24,Philadelphia 76ers,148.3
2023-24,Phoenix Suns,168.4
2023-24,Portland Trail Blazers,84.3
2023-24,Sacramento Kings,118.4
2023-24,San Antonio Spurs,78.3
2023-24,Toronto Raptors,118.4
2023-24,Utah Jazz,84.3
2023-24,Washington Wizards,94.4
